compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_shear_modulus_hrv,ael_bulk_modulus_hrv
P2Ru2Sr1,aflow:df75a853c14dbab0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/P2Ru2Sr1_ICSD_42966,139,tI10,46.9308,75.9165
P2Ru2Y1,aflow:1391d154ba0d221b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/P2Ru2Y1_ICSD_602128,139,tI10,98.6982,159.436
P2Sb2Ti4,aflow:6e4e032c033dba54,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Sb1Ti2_ICSD_153677,194,hP8,60.2964,110.611
P2Sb2Zr4,aflow:cc641efaedc2dc1f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Sb1Zr2_ICSD_153678,194,hP8,62.1548,112.984
P2Sn6Zr10,aflow:13d9ec6d00abfea6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Sn3Zr5_ICSD_656295,193,hP18,68.7983,108.325
P2Ta2,aflow:df2bbb94cdf105c4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/P1Ta1_ICSD_108656,141,tI8,56.3149,145.951
P2V2,aflow:25b20a378a429392,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1V1_ICSD_42444,194,hP4,67.2501,192.763
P2V2,aflow:8396cacfcd096cb9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1V1_ICSD_77855,194,hP4,48.299,88.999
P3Ru3Ti3,aflow:f0a50b35c4b5a77b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Ru1Ti1_ICSD_77792,189,hP9,101.817,215.726
P3Ru3Zr3,aflow:6adbf353975fc978,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/P1Ru1Zr1_ICSD_648037,189,hP9,90.2039,207.033
