compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_shear_modulus_hrv,ael_bulk_modulus_hrv
Ac1H2,aflow:903e65521a6472cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ac1H2_ICSD_56392,225,cF12,27.5974,56.1556
Ag10S8Sb2,aflow:d3aa24a7307877b5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag5S4Sb1_ICSD_16987,36,oS40,11.2753,34.2733
Ag12Na4S8,aflow:b8403806e5d2513d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag3Na1S2_ICSD_73198,227,cF96,10.4363,29.8167
Ag16Ca6,aflow:52a92160866b3a2a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Ag8Ca3_ICSD_107145,229,cI44,14.237,45.5833
Ag1Al1S2,aflow:e81fdf58728bbeef,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Al1S2_ICSD_25356,156,hP4,29.328,71.1616
Ag1Au1Zn2,aflow:1304e00dd260415a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Au1Zn2_ICSD_57340,225,cF16,18.4788,94.7667
Ag1Bi1Li2,aflow:8b5c9383a7f1c116,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Bi1Li2_ICSD_57350,216,cF16,5.33507,39.2944
Ag1Br1,aflow:acc935168652beb5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Br1_ICSD_157536,225,cF8,9.608,38.6889
Ag1C1,aflow:7726f25d86a7ac89,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1C1_ICSD_183175,225,cF8,8.3819,114.983
Ag1C2K1,aflow:30b4ea4c8457fd17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1C2K1_ICSD_410874,123,tP4,4.37049,19.0697
Ag1C2Li1,aflow:4038910d534b860e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1C2Li1_ICSD_410868,187,hP4,5.53794,25.0376
Ag1Cd1,aflow:1a5594f050f5eeaa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Cd1_ICSD_57360,221,cP2,4.77689,67.7056
Ag1Cd1Sb1,aflow:4db77c268007c7e7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cd1Sb1_ICSD_52549,216,cF12,4.04665,55.6611
Ag1Cl1,aflow:59bce60e4ed76f05,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cl1_ICSD_157535,225,cF8,8.66364,40.6111
Ag1Cu4Dy1,aflow:c43242ccdc84ef23,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Dy1_ICSD_605006,216,cF24,14.8512,99.5222
Ag1Cu4Er1,aflow:971f56ac3fa243bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Er1_ICSD_605007,216,cF24,20.4971,97.6833
Ag1Cu4Nd1,aflow:915d74e242423f08,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Nd1_ICSD_605036,216,cF24,29.4654,82.6611
Ag1Cu4Tb1,aflow:976df953c715c8df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Tb1_ICSD_605048,216,cF24,27.4589,98.4611
Ag1Cu4U1,aflow:a33f98efd9bfc969,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4U1_ICSD_603921,216,cF24,27.8044,90.1778
Ag1Cu4Yb1,aflow:e002ba9b40b19f1c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cu4Yb1_ICSD_605055,216,cF24,24.3184,78.6556
Ag1Dy1,aflow:ad8b903eea462234,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Dy1_ICSD_150538,221,cP2,25.6145,63.2722
Ag1Er1,aflow:d3311cbd31908b52,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Er1_ICSD_167893,221,cP2,27.0777,65.6
Ag1F1,aflow:bcee7bb7be81cfb8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1F1_ICSD_18008,225,cF8,6.75174,55.1611
Ag1F3Zn1,aflow:c2bae074d76f81b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1F3Zn1_ICSD_28950,221,cP5,31.6454,82.9444
Ag1Ga1,aflow:7ce7192fd654501b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Ga1_ICSD_104466,221,cP2,14.105,55.2944
Ag1Gd1,aflow:b08aeea1f94fa24c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Gd1_ICSD_150536,221,cP2,15.0116,74.5111
Ag1Hf2,aflow:bbfa0d883212ae9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Hf2_ICSD_163152,139,tI6,44.963,104.194
Ag1Ho1,aflow:2236cb624d741ca7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Ho1_ICSD_104474,221,cP2,26.2447,64.7944
Ag1I1,aflow:382493c94d1059f4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1I1_ICSD_161581,225,cF8,10.1121,33.0778
Ag1I1,aflow:61ae06e7e303a5bf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1I1_ICSD_161579,216,cF8,4.32363,24.8667
Ag1In5Se8,aflow:59aa7f06d2a88d1a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1In5Se8_ICSD_35597,111,tP14,11.5009,24.0865
Ag1In5Te8,aflow:03ae9fb0ad91fcf6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1In5Te8_ICSD_151871,111,tP14,10.7719,21.5713
Ag1La1,aflow:6f8934d40bc1c3b7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1La1_ICSD_150963,221,cP2,8.16272,46.6056
Ag1La1,aflow:fdbdd132b64b5e94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1La1_ICSD_58306,123,tP2,9.82671,27.995
Ag1Li1,aflow:4c10b43e69b72e7c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Li1_ICSD_58310,221,cP2,11.7596,37.1278
Ag1Li2Sb1,aflow:f617cfebecd6bba0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Li2Sb1_ICSD_52589,216,cF16,9.57989,44.0278
Ag1Mg1,aflow:88ed2152280d6868,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Mg1_ICSD_150831,221,cP2,20.6328,57.1778
Ag1Mg1Sb1,aflow:d63cc0a05a52c00f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Mg1Sb1_ICSD_187149,216,cF12,8.93284,54.3667
Ag1Mn3N1,aflow:c568d79d0d0e9fc8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Mn3N1_ICSD_52592,221,cP5,24.7122,58.2889
Ag1N1,aflow:68aff55b0748f486,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1N1_ICSD_185555,225,cF8,28.8564,130.858
Ag1Na1O1,aflow:f49a2a60b1665577,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Na1O1_ICSD_188531,216,cF12,21.7779,56.8722
Ag1Nb1O3,aflow:8944b3eb2c189cb7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Nb1O3_ICSD_55649,221,cP5,81.4251,189.9
Ag1P1Pd5,aflow:92282260eb315f3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1P1Pd5_ICSD_605631,123,tP7,36.523,142.987
Ag1P1Pt5,aflow:c617361aadf1a089,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1P1Pt5_ICSD_605633,123,tP7,37.4528,193.949
Ag1Pt3,aflow:e2ded1c71ca5f4b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Pt3_ICSD_180886,221,cP4,51.0089,191.067
Ag1Pt5Si1,aflow:c6eee5e705fb3446,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Pt5Si1_ICSD_605693,123,tP7,49.6534,203.29
Ag1Sc1,aflow:528f39089c3a8aaa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Sc1_ICSD_58348,221,cP2,28.8155,74.1389
Ag1Tb1,aflow:f0216227e77670e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Tb1_ICSD_58363,221,cP2,23.4401,61.7444
Ag1Ti2,aflow:cd218b45a20c9d02,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Ti2_ICSD_605935,139,tI6,45.4014,105.392
Ag1Y1,aflow:f36e18a378d3536b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Y1_ICSD_58376,221,cP2,34.2449,60.2167
Ag1Yb1,aflow:814ca132a7938e3d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Yb1_ICSD_58378,221,cP2,8.55083,28.0056
Ag1Zn1,aflow:8695dbc1dce08b16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag1Zn1_ICSD_150570,221,cP2,11.3024,79.8833
Ag1Zr2,aflow:0096426c57ae3f16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,139,tI6,26.3813,94.1046
Ag2,aflow:59063b52ef54c3cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1_ICSD_56269,194,hP2,23.0691,77.3714
Ag2Al1Sc1,aflow:ab6f8d92be6bad9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Al1Sc1_ICSD_57333,225,cF16,14.8218,86.5611
Ag2Al2O4,aflow:6c2aa8cffae6bd98,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Al1O2_ICSD_300020,194,hP8,21.9043,142.581
Ag2Al2Se4,aflow:877eb327e670859d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Al1Se2_ICSD_28745,122,tI16,16.3511,49.4874
Ag2Al2Te4,aflow:dc0402cf588bb06d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Al1Te2_ICSD_28746,122,tI16,14.3119,40.2549
Ag2As2Ba2,aflow:c78a80a4276e8729,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1As1Ba1_ICSD_8278,194,hP6,27.8761,42.2606
Ag2As2Sr2,aflow:cbd0cb3bc230996a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1As1Sr1_ICSD_49742,194,hP6,29.739,44.9698
Ag2Au2F8,aflow:9ee5b4685cffe258,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Au1F4_ICSD_90071,140,tI24,12.0532,36.5928
Ag2Ba1Sn2,aflow:2174b1eb1799790d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Ba1Sn2_ICSD_25332,139,tI10,20.8839,43.2198
Ag2Ba2P2,aflow:6526b6bd6018f3c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ba1P1_ICSD_41706,194,hP6,30.6777,47.0501
Ag2Be4,aflow:906cf5402e55f573,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Be2_ICSD_57347,227,cF24,82.9459,114.533
Ag2Bi2Ca2,aflow:d145209fb6e7e5ee,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Bi1Ca1_ICSD_416283,186,hP6,20.6115,41.4516
Ag2Bi2Ca2,aflow:d71d07cdd5ecf61b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Bi1Ca1_ICSD_659377,194,hP6,18.7453,34.6579
Ag2Bi2K4,aflow:0f80aff62bbe5e60,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag1Bi1K2_ICSD_1156,20,oS16,7.51461,15.3283
Ag2Bi2Yb2,aflow:14c94bcfc408ad8a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Bi1Yb1_ICSD_604874,186,hP6,20.0826,40.6108
Ag2Br2,aflow:2111503637117406,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag1Br1_ICSD_56549,11,mP4,10.4806,39.4322
Ag2Br2,aflow:dd18d74ff992ddea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag1Br1_ICSD_56550,11,mP4,10.412,38.5562
Ag2Br4Cs2,aflow:8e1432465df5fab6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag1Br2Cs1_ICSD_150301,63,oS16,6.36118,16.2116
Ag2Ca1Ge2,aflow:65bc28c90e116908,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Ca1Ge2_ICSD_25316,139,tI10,25.4265,55.7517
Ag2Ca2,aflow:348aaceb97a7cad5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag1Ca1_ICSD_54979,63,oS8,12.0357,35.1631
Ag2Cl2,aflow:1c37631a1f4d2450,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag1Cl1_ICSD_56541,11,mP4,10.0166,41.3873
Ag2Cl2,aflow:5c1f9a350ac0fe8e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag1Cl1_ICSD_56542,11,mP4,10.0485,39.3496
Ag2Co2O4,aflow:fbc2cf03b9659c90,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Co1O2_ICSD_246157,194,hP8,21.7453,146.973
Ag2Cr4Te8,aflow:a30bbe2831fa8a18,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag1Cr2Te4_ICSD_71695,227,cF56,4.57603,44.3111
Ag2Dy1,aflow:7b84ba6979e466a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Dy1_ICSD_150637,139,tI6,20.206,68.8493
Ag2Dy1In1,aflow:dcf9e6bc36e20b6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Dy1In1_ICSD_104397,225,cF16,14.7713,73.9667
Ag2Dy2Pb2,aflow:76cc11f36db38ca3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Dy1Pb1_ICSD_107106,186,hP6,33.0234,61.2156
Ag2Dy2Se4,aflow:7ee1e465210e710b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Dy1Se2_ICSD_605084,109,tI16,18.2021,44.1701
Ag2Dy2Sn2,aflow:01ecb38bdebc3a09,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Dy1Sn1_ICSD_418582,186,hP6,38.7302,67.1982
Ag2Dy2Te4,aflow:fa013d1f5ece5362,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Dy1Te2_ICSD_154794,113,tP8,19.1602,40.7248
Ag2Er1,aflow:f19f7d6d2d7a3b7f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Er1_ICSD_58252,139,tI6,23.7518,70.4693
Ag2Er1In1,aflow:22494371b35a87c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Er1In1_ICSD_58254,225,cF16,11.4184,74.9111
Ag2Er2S4,aflow:1fa8425dcd2de76c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Er1S2_ICSD_423921,109,tI16,25.2456,56.3735
Ag2Er2Sn2,aflow:c0785b0dc60c0bf0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Er1Sn1_ICSD_183317,186,hP6,38.127,67.7651
Ag2F6Rb2,aflow:47b9ffc0d5db5a9b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1F3Rb1_ICSD_23153,140,tI20,16.6746,41.2617
Ag2Ga2O4,aflow:a68a8a49a217e71e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ga1O2_ICSD_95665,194,hP8,17.6136,128.101
Ag2Ga2S4,aflow:dfee8723b09e7b7f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Ga1S2_ICSD_156126,122,tI16,19.5826,56.8118
Ag2Ga2Te4,aflow:4110f65c57bcab22,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Ga1Te2_ICSD_156128,122,tI16,14.655,38.2778
Ag2Ge1Li1,aflow:0fe4e83557076b65,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Ge1Li1_ICSD_85307,225,cF16,14.1917,56.8056
Ag2Ge2La2,aflow:a592d0a1b4f99ead,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ge1La1_ICSD_56985,186,hP6,37.9213,64.0044
Ag2Hf2,aflow:8cffa25d1f303313,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Hf1_ICSD_605330,129,tP4,34.1802,100.817
Ag2Hg1I4,aflow:4acd680114f302a1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag2Hg1I4_ICSD_30264,111,tP7,4.17767,12.593
Ag2Ho1,aflow:b76039d9d889a419,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Ho1_ICSD_58278,139,tI6,21.2399,68.1211
Ag2Ho1In1,aflow:afa6e5dc6e33e138,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Ho1In1_ICSD_58280,225,cF16,13.0652,74.4111
Ag2Ho2Pb2,aflow:4db29f99b9a52e13,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ho1Pb1_ICSD_107107,186,hP6,32.4723,60.955
Ag2Ho2Sn2,aflow:b09dc33db7aab523,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ho1Sn1_ICSD_418581,186,hP6,38.272,67.8874
Ag2I2,aflow:008f8da25d4acde9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1I1_ICSD_28230,129,tP4,3.56254,10.2029
Ag2I2,aflow:633450d95f48c396,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ag1I1_ICSD_56557,11,mP4,11.1102,33.813
Ag2I2,aflow:d611e813a85efcb0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1I1_ICSD_15589,186,hP4,4.98783,26.8238
Ag2In1La1,aflow:737af44395bdd9e5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1La1_ICSD_58290,225,cF16,16.9831,62.6944
Ag2In1Li1,aflow:a19cdea5f11fd86f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Li1_ICSD_171472,225,cF16,11.299,52.9
Ag2In1Mg1,aflow:83250739661cf4ba,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Mg1_ICSD_605394,225,cF16,14.0985,64.3944
Ag2In1Sc1,aflow:e680940d09ac6cbb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Sc1_ICSD_58298,225,cF16,6.01576,78.8722
Ag2In1Tb1,aflow:4232dce39a62dda0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Tb1_ICSD_56987,225,cF16,16.6662,73.3722
Ag2In1Y1,aflow:047348a26953adbe,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Y1_ICSD_58304,225,cF16,14.1188,72.8444
Ag2In2O4,aflow:df047b17dcd22a28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1In1O2_ICSD_95671,194,hP8,14.7432,99.2643
Ag2In2S4,aflow:5ec42def8839c87e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1In1S2_ICSD_156129,122,tI16,14.343,48.297
Ag2In2Te4,aflow:4297a07feb4b7609,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1In1Te2_ICSD_104476,122,tI16,11.5802,34.8033
Ag2La1Si2,aflow:dc718eec2739ab1e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2La1Si2_ICSD_52587,139,tI10,51.7797,84.0028
Ag2La2Pb2,aflow:448c51bb881d4e96,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1La1Pb1_ICSD_107099,186,hP6,31.113,53.9553
Ag2Li1Sn1,aflow:d176291d7c976b5c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Li1Sn1_ICSD_151446,225,cF16,10.9643,53.0667
Ag2Li2,aflow:6a0cfd8361d328cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Li1_ICSD_247145,141,tI8,10.0387,38.3109
Ag2O4Sc2,aflow:10b7611d376234cf,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1O2Sc1_ICSD_95668,194,hP8,14.5734,107.982
Ag2O4Y2,aflow:83094e46f95bfef4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1O2Y1_ICSD_95674,194,hP8,17.6043,96.5936
Ag2P2Sr2,aflow:558db863d3e11da8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1P1Sr1_ICSD_52596,194,hP6,33.2837,50.8202
Ag2Pb2Tb2,aflow:c59c1fbcce730c3f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Pb1Tb1_ICSD_107105,186,hP6,33.5527,60.6812
Ag2S6Ta2,aflow:4b5287b3e7f9e4cd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag1S3Ta1_ICSD_74442,36,oS20,23.0033,73.1232
Ag2S6Ta2,aflow:5eb8e6ae98c9cdad,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ag1S3Ta1_ICSD_73804,63,oS20,25.0461,73.5429
Ag2Sb6Zr10,aflow:3270fade19ad4c55,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Sb3Zr5_ICSD_605789,193,hP18,58.2209,113.162
Ag2Sc1,aflow:efede5d94aeda377,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Sc1_ICSD_605791,139,tI6,26.2264,77.9059
Ag2Si2Sr1,aflow:8e76165877313837,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Si2Sr1_ICSD_25330,139,tI10,38.5019,64.2717
Ag2Si2Tb1,aflow:3b91a501ca0a8736,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Si2Tb1_ICSD_98339,139,tI10,51.9103,91.7748
Ag2Si2Yb1,aflow:6e66044ada4db838,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Si2Yb1_ICSD_167883,139,tI10,36.1089,68.0701
Ag2Sn2Sr1,aflow:cd7a7ed413f1e66a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Sn2Sr1_ICSD_414,139,tI10,17.6294,43.2791
Ag2Sn2Tb2,aflow:e4b6ef2b136c42d3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Sn1Tb1_ICSD_55822,186,hP6,38.7548,66.2907
Ag2Tb1,aflow:ce620ffad6e99ca9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Tb1_ICSD_58365,139,tI6,17.7938,66.109
Ag2Te4Y2,aflow:b468cbf4ca46cb34,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Te2Y1_ICSD_154792,113,tP8,18.4134,38.1723
Ag2Th1,aflow:2f4b7a92fe4f70ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag2Th1_ICSD_15443,191,hP3,31.2592,74.5038
Ag2Th4,aflow:981a1b462db4f147,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Th2_ICSD_150643,140,tI12,18.1934,70.4333
Ag2Ti2,aflow:7fc090bb2747841c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Ti1_ICSD_605934,129,tP4,41.6612,94.238
Ag2Y1,aflow:17957a7083ef0ccd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Y1_ICSD_605957,139,tI6,22.1502,67.2494
Ag2Yb1,aflow:8e92a5daf4083c8c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag2Yb1_ICSD_605966,139,tI6,13.2623,40.5427
Ag2Zr2,aflow:182ef0ed2f8125eb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1Zr1_ICSD_163155,129,tP4,34.4458,98.6679
Ag36In16,aflow:1381bdf3abc1096d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag9In4_ICSD_832,215,cP52,30.4323,67.5611
Ag3As3Ca3,aflow:213db77020668f6f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1As1Ca1_ICSD_10017,189,hP9,36.0025,57.4374
Ag3Ca3P3,aflow:d1fa435773b889e8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ca1P1_ICSD_10016,189,hP9,40.6478,63.824
Ag3Dy3Ge3,aflow:fdaeeba31efc4b61,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Dy1Ge1_ICSD_605077,189,hP9,49.6795,80.1447
Ag3Dy3Mg3,aflow:4431de142c78bdfd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Dy1Mg1_ICSD_657937,189,hP9,7.44873,57.5899
Ag3Dy3Si3,aflow:6363a4fb195d7fbd,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Dy1Si1_ICSD_605085,189,hP9,52.9675,86.0855
Ag3Er3Ge3,aflow:7f789acb2835c95f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Er1Ge1_ICSD_605108,189,hP9,50.7853,82.5799
Ag3Er3Ge3,aflow:bc7cddbb05f9cb7e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Er1Ge1_ICSD_86733,189,hP9,19.0458,85.282
Ag3Er3Si3,aflow:637eaa781f067602,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Er1Si1_ICSD_605116,189,hP9,55.3569,88.3403
Ag3Er3Sn3,aflow:9b5b20cd19a36664,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Er1Sn1_ICSD_183318,189,hP9,35.4442,70.9767
Ag3Ge3Tb3,aflow:1c078231c9db1aff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Ge1Tb1_ICSD_86730,189,hP9,20.5584,69.8232
Ag3I1S1,aflow:9da57f587b92d20f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ag3I1S1_ICSD_201004,221,cP5,6.78815,39.7649
